q_id,q_status,q_date,ia_date,wd_date,on_date,entity,project_name,developer,utility,county_1,county_2,county_3,state,region,service,poi_name,prop_date,IA_status_raw,IA_status_clean,type_clean,type1,type2,type3,mw1,mw2,mw3
25,withdrawn,2004-02-05,,,,CAISO,CUYAPAIPE WIND POWER PROJECT,,SDGE,san diego,,,CA,CAISO,,Crestwood,2005-06-06,,Feasibility Study,Wind,Wind,,,117.0,,
35,withdrawn,2004-10-25,,,,CAISO,WELLHEAD POWER FIREBAUGH,,PGAE,fresno,,,CA,CAISO,,115 KV Panoche Sub,2006-05-31,In Progress,Facility Study,Gas,Gas,,,50.0,,
157,withdrawn,2006-12-15,,2008-11-26,,CAISO,ALTA 8,,SCE,kern,,,CA,CAISO,,66kV Rosamond-Antelope line,,,Feasibility Study,Wind,Wind,,,100.0,,
653BA,withdrawn,2010-09-29,,,,CAISO,RE TEHACHAPI SOLAR 2,,SCE,kern,,,CA,CAISO,Energy Only,Kern River-Cummings 66kV,,,Feasibility Study,Solar,Solar,,,20.0,,
1178,withdrawn,2015-04-30,,,,CAISO,MIDTOWN CANYON GAS,,SDGE,san diego,,,CA,CAISO,Full Capacity,Talega-Escondido 230 kv line,2019-03-01,,Feasibility Study,Gas,Gas,,,507.0,,
240,withdrawn,2007-07-12,,,,CAISO,SIBERIA PHASE I SEGS (FKA DPT BROADWELL LAKE II),,SCE,san bernardino,,,CA,CAISO,,Pisgah Sub 230kV,2014-06-30,,Facility Study,Other,Steam Turbine,,,400.0,,
833,withdrawn,2011-03-31,,,,CAISO,WARTHAN CREEK SOLAR PROJECT,,PGAE,fresno,,,CA,CAISO,Full Capacity,Coalinga   70 KV,2013-12-01,,Feasibility Study,Solar,Solar,,,20.0,,
669,withdrawn,2011-03-31,,,,CAISO,ALTA 15,,SCE,kern,,,CA,CAISO,Full Capacity,Highwind Substation 230kV Bus,,,Feasibility Study,Wind,Wind,,,502.0,,
caiso_c15_519,active,2023-04-17,,,,CAISO,Grid Balance Energy Center,,SCE,los angeles,,,CA,CAISO,,Bailey Station,2027-06-01,,In Progress (unknown study),Battery,Battery,,,157.0,,
406,withdrawn,2008-05-30,,2008-11-26,,CAISO,MILAGRO WIND,,SDGE,san diego,,,CA,CAISO,,Boulevard Substation,2011-06-01,,Feasibility Study,Wind,Wind,,,130.0,,
caiso_c15_81,active,2023-04-17,,,,CAISO,Chance Solar,,SCE,san bernadino,,,CA,CAISO,,Lugo - Mohave 500kV,2027-10-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,898.0,897.0,
57,operational,2005-02-08,2006-12-01,,,CAISO,CPV COLUSA,,PGAE,colusa,,,CA,CAISO,,Between Cottonwood and Vaca-Dixon,2010-01-01,Executed,IA Executed,Gas,Gas,,,715.0,,
2031,active,2021-04-15,,,,CAISO,MARLEY,,SCE,riverside,,,CA,CAISO,Full Capacity,Wildlife Substation 230 kV,2024-11-01,,Facility Study,Battery,Battery,,,206.0,,
1320,withdrawn,2016-05-02,,,,CAISO,CALIFORNIA CITY SOLAR,,SCE,kern,,,CA,CAISO,Full Capacity,WINDHUB 230 KV SUB,,,System Impact Study,Solar,Solar,,,732.0,,
1556,withdrawn,2019-04-15,,,,CAISO,SPINDRIFT HYBRID SOLAR,,PGAE,sutter,,,CA,CAISO,Full Capacity,Rio Oso Substation 115kV,,,System Impact Study,Solar+Battery,Solar,Battery,,102.0,102.0,
1728,active,2020-04-15,,,,CAISO,ZETA,,PGAE,merced,,,CA,CAISO,Full Capacity,Mercy Springs 70 kV,2023-12-01,Executed,IA Executed,Solar+Battery,Solar,Battery,,77.0,77.0,
493,operational,2009-07-31,2012-06-13,,2013-07-30,CAISO,OCOTILLO EXPRESS,,SDGE,imperial,,,CA,CAISO,Full Capacity,Ocotillo Switchyard 500 kV,,Executed,IA Executed,Wind,Wind,,,265.0,,
734,withdrawn,2011-03-31,,,,CAISO,MONTEZUMA WETLANDS,,PGAE,solano,,,CA,CAISO,Full Capacity,Birds Landing Substation 230 kV,2012-11-01,,System Impact Study,Wind,Wind,,,250.0,,
caiso_c15_478,active,2023-04-17,,,,CAISO,Sokolata Hybrid,,PGAE,lassen,,,CA,CAISO,,Pit 1 230kV,2029-09-30,,In Progress (unknown study),Solar+Battery,Solar,Battery,,238.0,240.0,
877,operational,2012-04-02,2014-11-14,,2019-03-05,CAISO,CALIFORNIA FLATS SOLAR,,PGAE,monterey,,,CA,CAISO,Full Capacity,Morro-Gates 230kV line,,Executed,IA Executed,Solar+Battery,Solar,Battery,,280.0,60.0,
321,withdrawn,2008-03-18,,,,CAISO,NE WIND PROJECT,,PGAE,plumas,,,CA,CAISO,,Caribou Substation 230kV switchyard,,,Feasibility Study,Wind,Wind,,,100.0,,
41,withdrawn,2004-11-18,,,,CAISO,PASTORIA EXPANSION,,SCE,kern,,,CA,CAISO,,Pastoria Substation,2006-07-31,,Facility Study,Gas,Gas,,,157.0,,
caiso_c15_282,active,2023-04-17,,,,CAISO,Ridgeview Energy Storage,,PGAE,lake,,,CA,CAISO,,Fulton 230kV,2028-04-01,,In Progress (unknown study),Battery,Battery,,,85.0,,
1757,active,2020-04-15,,,,CAISO,COBALT,,SCE,riverside,,,CA,CAISO,Energy Only,Colorado River Substation 220kV,,Executed,IA Executed,Solar+Battery,Solar,Battery,,256.0,256.0,
61,active,2005-03-30,,,,CAISO,FRESNO COGENERATION EXPANSION PROJECT,,PGAE,fresno,,,CA,CAISO,,Helm-Kerman 70 kV Line,2006-05-31,Executed,IA Executed,Other+Battery,Other,,,73.0,19.0,
caiso_c15_267,active,2023-04-17,,,,CAISO,Blue Star Solar,,SCE,san bernadino,,,CA,CAISO,,Lugo - Pisgah 230KV,2028-05-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,361.0,361.0,
560,withdrawn,2010-02-01,,2013-11-22,,CAISO,FRV LEO SOLAR,,PGAE,merced,,,CA,CAISO,Full Capacity,Los Banos-Dos Amigos 230kV,2012-07-01,,Facility Study,Solar,Solar,,,100.0,,
449,withdrawn,2008-05-30,,2008-12-19,,CAISO,BIG MARIA VISTA SOLAR GENERATING STATION,,SCE,riverside,,,CA,CAISO,,Midpoint Substation 500 kV,2012-07-01,,Feasibility Study,Other,Steam Turbine,,,250.0,,
caiso_c15_126,active,2023-04-17,,,,CAISO,BlueWater Solar,,SCE,la paz,,,AZ,CAISO,,Colorado River 500kV,,,In Progress (unknown study),Solar+Battery,Solar,Battery,,1532.0,1532.0,
caiso_c15_328,active,2023-04-17,,,,CAISO,Manzanita Inyaha Solar,,SDGE,san diego,,,CA,CAISO,,Crestwood Substation 69kV,2026-12-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,104.0,104.0,
caiso_c15_379,active,2023-04-17,,,,CAISO,South Ridge Solar,,GLW,nye,,,NV,CAISO,,Innovation 230kV,2028-05-01,,In Progress (unknown study),Solar+Battery,Solar,Battery,,283.0,283.0,
1955,active,2021-04-15,,,,CAISO,CIERVO MOUNTAIN HYBRID,,PGAE,fresno,,,CA,CAISO,Full Capacity,Excelsior 115 kV,2025-12-01,,Facility Study,Solar+Battery,Solar,Battery,,128.0,127.0,
caiso_c15_117,active,2023-04-17,,,,CAISO,Everlasting,,PGAE,alameda,,,CA,CAISO,,Kelso 230kV,2028-12-01,,In Progress (unknown study),Battery,Battery,,,70.0,,
961,withdrawn,2013-04-30,,,,CAISO,LAGUNA SALADA PV POWER PLANT,,SDGE,baja california,,,MX,CAISO,Full Capacity,Imperial Valley Substation 230kV,2015-11-01,Executed,IA Executed,Solar,Solar,,,201.0,,
1632,active,2019-04-15,,,,CAISO,SANBORN HYBRID 3,,SCE,kern,,,CA,CAISO,Full Capacity,Windhub Substation 500kV,2023-12-01,Executed,IA Executed,Solar+Battery,Solar,Battery,,779.0,672.0,
362,withdrawn,2008-05-02,,2008-11-26,,CAISO,PVV-M SOLAR I,,SCE,riverside,,,CA,CAISO,,Midpoint Substation,2012-08-30,,Feasibility Study,Other,Steam Turbine,,,300.0,,
2118,withdrawn,2021-04-15,,,,CAISO,SPROUT,,SCE,los angeles,,,CA,CAISO,Full Capacity,Center S Substation 230 kV,2024-06-30,,Feasibility Study,Battery,Battery,,,406.0,,
