n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
17.0,23.0,3.0,2558.8499992370607,9895.900005340576,94.0
17.0,24.0,3.0,2558.8499992370607,10052.900005340576,94.0
17.0,25.0,3.0,2558.8499992370607,10352.900005340576,94.0
17.0,26.0,3.0,2558.8499992370607,10521.600002288818,94.0
17.0,27.0,3.0,2558.8499992370607,10648.100002288818,94.0
17.0,28.0,3.0,2558.8499992370607,11179.100002288818,94.0
17.0,29.0,3.0,2558.8499992370607,11379.700008392334,94.0
17.0,30.0,3.0,2558.8499992370607,11969.700008392334,94.0
17.0,31.0,3.0,2558.8499992370607,12323.700008392334,94.0
17.0,32.0,3.0,2558.8499992370607,12724.700008392334,94.0
17.0,33.0,3.0,2558.8499992370607,13534.700008392334,94.0
17.0,34.0,3.0,2558.8499992370607,13535.250008404255,94.0
17.0,35.0,3.0,2558.8499992370607,13652.050011456013,94.0
17.0,36.0,4.0,2558.8499992370607,13771.950011456012,213.9
17.0,37.0,4.0,2558.8499992370607,14405.950011456012,213.9
17.0,38.0,4.0,2558.8499992370607,15120.950011456012,213.9
17.0,39.0,4.0,2558.8499992370607,15182.950011456012,213.9
17.0,40.0,4.0,2558.8499992370607,15276.950011456012,213.9
17.0,41.0,4.0,2558.8499992370607,15374.150008404255,213.9
17.0,42.0,5.0,2558.8499992370607,15447.420005047321,232.4
17.0,43.0,5.0,2558.8499992370607,15613.920005047321,232.4
17.0,44.0,5.0,2558.8499992370607,15771.920005047321,232.4
17.0,45.0,5.0,2558.8499992370607,15918.920005047321,232.4
17.0,46.0,5.0,2558.8499992370607,16419.420005047323,232.4
17.0,47.0,5.0,2558.8499992370607,16844.21999284029,232.4
17.0,48.0,5.0,2558.8499992370607,17089.21999284029,232.4
18.0,48.0,5.0,3408.8499992370607,17089.21999284029,232.4
18.0,49.0,5.0,3408.8499992370607,17616.21999284029,232.4
18.0,50.0,5.0,3408.8499992370607,17628.81999322176,232.4
18.0,51.0,5.0,3408.8499992370607,18219.81999322176,232.4
18.0,51.0,6.0,3408.8499992370607,18219.81999322176,732.4
19.0,51.0,6.0,3550.149999237061,18219.81999322176,732.4
20.0,51.0,6.0,3652.149999237061,18219.81999322176,732.4
20.0,52.0,6.0,3652.149999237061,18230.31999322176,732.4
20.0,53.0,6.0,3652.149999237061,18240.81999322176,732.4
21.0,53.0,6.0,3952.149999237061,18240.81999322176,732.4
22.0,53.0,6.0,4252.149999237061,18240.81999322176,732.4
22.0,54.0,6.0,4252.149999237061,18850.81999322176,732.4
22.0,55.0,7.0,4252.149999237061,18860.254993221763,779.8465
22.0,56.0,7.0,4252.149999237061,18867.054993221762,779.8465
23.0,56.0,7.0,4312.149999237061,18867.054993221762,779.8465
23.0,54.0,7.0,4366.149999237061,18274.054993221762,779.8465
24.0,54.0,7.0,4486.149999237061,18274.054993221762,779.8465
25.0,52.0,7.0,4519.249999237061,17646.054993221762,779.8465
26.0,52.0,7.0,4553.249999237061,17646.054993221762,779.8465
26.0,53.0,7.0,4553.249999237061,17674.054993221762,779.8465
26.0,54.0,7.0,4553.249999237061,18287.554993221762,779.8465
26.0,55.0,7.0,4553.249999237061,18857.554993221762,779.8465
26.0,56.0,7.0,4553.249999237061,18950.554993221762,779.8465
26.0,57.0,7.0,4553.249999237061,19520.554993221762,779.8465
27.0,57.0,8.0,5153.249999237061,19520.554993221762,1079.8465
28.0,57.0,8.0,5373.249999237061,19520.554993221762,1079.8465
29.0,57.0,8.0,5923.249999237061,19520.554993221762,1079.8465
30.0,57.0,8.0,6083.249999237061,19520.554993221762,1079.8465
31.0,57.0,8.0,6263.249999237061,19520.554993221762,1079.8465
31.0,58.0,8.0,6263.249999237061,19557.554993221762,1079.8465
31.0,59.0,8.0,6263.249999237061,19602.554993221762,1079.8465
31.0,59.0,9.0,6233.249999237061,19602.554993221762,1199.8465
31.0,60.0,9.0,6233.249999237061,19702.554993221762,1199.8465
32.0,59.0,9.0,6443.249999237061,19602.554993221762,1199.8465
33.0,59.0,9.0,6543.249999237061,19602.554993221762,1199.8465
33.0,60.0,9.0,6543.249999237061,19629.554993221762,1199.8465
33.0,61.0,9.0,6543.249999237061,19933.554993221762,1199.8465
34.0,61.0,9.0,6643.249999237061,19933.554993221762,1199.8465
34.0,62.0,9.0,6643.249999237061,20568.554993221762,1199.8465
35.0,60.0,10.0,6693.249999237061,20558.00499320984,1249.8465
36.0,59.0,10.0,6821.249999237061,20513.00499320984,1249.8465
37.0,59.0,10.0,6949.249999237061,20513.00499320984,1249.8465
37.0,60.0,10.0,6949.249999237061,20813.00499320984,1249.8465
38.0,60.0,10.0,7499.249999237061,20813.00499320984,1249.8465
39.0,60.0,10.0,8899.249999237061,20813.00499320984,1249.8465
39.0,61.0,10.0,8899.249999237061,20829.00499320984,1249.8465
40.0,61.0,10.0,9199.249999237061,20829.00499320984,1249.8465
41.0,61.0,10.0,9229.249999237061,20829.00499320984,1249.8465
42.0,61.0,10.0,9379.249999237061,20829.00499320984,1249.8465
43.0,61.0,10.0,9529.249999237061,20829.00499320984,1249.8465
44.0,61.0,10.0,9579.249999237061,20829.00499320984,1249.8465
45.0,61.0,10.0,9649.249999237061,20829.00499320984,1249.8465
45.0,62.0,10.0,9649.249999237061,21379.00499320984,1249.8465
46.0,62.0,10.0,10149.249999237061,21379.00499320984,1249.8465
47.0,62.0,10.0,11349.249999237061,21379.00499320984,1249.8465
47.0,63.0,10.0,11349.249999237061,21428.00499320984,1249.8465
47.0,64.0,10.0,11349.249999237061,21527.00499320984,1249.8465
47.0,65.0,10.0,11349.249999237061,21626.00499320984,1249.8465
48.0,65.0,11.0,11949.249999237061,21626.00499320984,1399.8465
48.0,66.0,11.0,11949.249999237061,21876.00499320984,1399.8465
49.0,66.0,11.0,13449.249999237061,21876.00499320984,1399.8465
49.0,67.0,11.0,13449.249999237061,21903.20499320984,1399.8465
49.0,68.0,11.0,13449.249999237061,22503.20499320984,1399.8465
50.0,68.0,11.0,13849.249999237061,22503.20499320984,1399.8465
50.0,69.0,11.0,13849.249999237061,23068.20499320984,1399.8465
50.0,70.0,11.0,13849.249999237061,23200.20499320984,1399.8465
51.0,70.0,11.0,14011.249999237061,23200.20499320984,1399.8465
52.0,70.0,11.0,14151.249999237061,23200.20499320984,1399.8465
52.0,71.0,11.0,14151.249999237061,23400.20499320984,1399.8465
53.0,71.0,11.0,14211.249999237061,23400.20499320984,1399.8465
53.0,72.0,11.0,14211.249999237061,23700.20499320984,1399.8465
53.0,73.0,11.0,14211.249999237061,23911.20499320984,1399.8465
54.0,73.0,12.0,14271.249999237061,23911.20499320984,1489.8465
54.0,74.0,12.0,14271.249999237061,24609.20499320984,1489.8465
53.0,75.0,12.0,13871.249999237061,24684.20499320984,1489.8465
53.0,76.0,12.0,13871.249999237061,25188.20499320984,1489.8465
53.0,77.0,12.0,13871.249999237061,25268.20499320984,1489.8465
53.0,78.0,12.0,13871.249999237061,25348.20499320984,1489.8465
53.0,79.0,12.0,13871.249999237061,25668.20499320984,1489.8465
53.0,80.0,12.0,13871.249999237061,26259.20499320984,1489.8465
54.0,80.0,13.0,14171.249999237061,26259.20499320984,1719.8465
54.0,81.0,13.0,14171.249999237061,26306.604993209843,1719.8465
55.0,81.0,13.0,14533.249999237061,26306.604993209843,1719.8465
56.0,81.0,14.0,14783.249999237061,26306.604993209843,1949.8465
56.0,82.0,14.0,14783.249999237061,26396.604993209843,1949.8465
56.0,82.0,14.0,14783.249999237061,26606.604993209843,1949.8465
57.0,82.0,14.0,14888.249999237061,26606.604993209843,1949.8465
58.0,82.0,14.0,14988.249999237061,26606.604993209843,1949.8465
59.0,82.0,14.0,15238.249999237061,26606.604993209843,1949.8465
59.0,83.0,14.0,15238.249999237061,26906.604993209843,1949.8465
60.0,83.0,14.0,15439.249999237061,26906.604993209843,1949.8465
61.0,82.0,14.0,15539.249999237061,26396.604993209843,1949.8465
