n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8
0.0,37.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,5925.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,38.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6018.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,39.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6154.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,40.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6254.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,41.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6390.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,42.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6590.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,43.0,8.0,1.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,6625.0,1527.0,2023.0,4755.0,675.0,0.0,0.0,0.0
0.0,43.0,8.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,6625.0,1527.0,2023.0,4755.0,775.0,0.0,0.0,0.0
0.0,43.0,9.0,1.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,6625.0,2687.0,2023.0,4755.0,775.0,0.0,0.0,0.0
0.0,43.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,6625.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,44.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,6745.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,45.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,6915.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,46.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,7155.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,47.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,7355.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,48.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,7555.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,49.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,7765.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,50.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,7905.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
0.0,51.0,9.0,1.0,10.0,3.0,0.0,0.0,0.0,0.0,0.0,8085.0,2687.0,2023.0,5336.0,775.0,0.0,0.0,0.0
