n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
74.0,95.0,8.0,20396.0,30135.2,1298.0
75.0,95.0,8.0,20896.0,30135.2,1298.0
75.0,96.0,8.0,20896.0,30435.2,1298.0
75.0,97.0,8.0,20896.0,30835.2,1298.0
75.0,98.0,8.0,20896.0,31399.2,1298.0
76.0,98.0,8.0,21196.0,31399.2,1298.0
76.0,99.0,8.0,21196.0,31431.2,1298.0
77.0,99.0,8.0,21696.0,31431.2,1298.0
77.0,100.0,8.0,21696.0,31581.2,1298.0
77.0,101.0,8.0,21696.0,31792.2,1298.0
77.0,102.0,8.0,21696.0,31842.2,1298.0
78.0,102.0,8.0,21894.0,31842.2,1298.0
78.0,103.0,8.0,21894.0,31948.2,1298.0
78.0,104.0,8.0,21894.0,32278.2,1298.0
78.0,105.0,8.0,21894.0,32593.2,1298.0
78.0,106.0,8.0,21894.0,32908.2,1298.0
78.0,107.0,8.0,21894.0,33408.2,1298.0
79.0,107.0,8.0,22084.0,33408.2,1298.0
79.0,108.0,8.0,22084.0,34133.2,1298.0
79.0,109.0,8.0,22084.0,34343.2,1298.0
79.0,110.0,8.0,22084.0,34658.2,1298.0
79.0,111.0,8.0,22084.0,35058.2,1298.0
80.0,111.0,8.0,22283.0,35058.2,1298.0
80.0,112.0,8.0,22283.0,35157.2,1298.0
80.0,113.0,8.0,22283.0,35357.2,1298.0
81.0,113.0,8.0,22482.0,35357.2,1298.0
81.0,114.0,8.0,22482.0,35407.2,1298.0
82.0,114.0,8.0,22631.0,35407.2,1298.0
82.0,115.0,8.0,22631.0,35412.2,1298.0
82.0,116.0,8.0,22631.0,35612.2,1298.0
82.0,117.0,8.0,22631.0,36169.2,1298.0
83.0,117.0,8.0,23031.0,36169.2,1298.0
84.0,117.0,8.0,23531.0,36169.2,1298.0
85.0,117.0,8.0,23533.0,36169.2,1298.0
86.0,117.0,8.0,23734.0,36169.2,1298.0
87.0,117.0,8.0,23784.0,36169.2,1298.0
88.0,117.0,8.0,23964.0,36169.2,1298.0
89.0,117.0,8.0,24013.0,36169.2,1298.0
90.0,117.0,8.0,24433.0,36169.2,1298.0
90.0,118.0,8.0,24433.0,36268.2,1298.0
90.0,119.0,8.0,24433.0,36367.2,1298.0
90.0,120.0,8.0,24433.0,36466.2,1298.0
91.0,120.0,9.0,24511.0,36466.2,1352.0
92.0,120.0,9.0,24961.0,36466.2,1352.0
93.0,120.0,9.0,25411.0,36466.2,1352.0
94.0,120.0,9.0,25461.0,36466.2,1352.0
95.0,120.0,9.0,25631.0,36466.2,1352.0
95.0,121.0,9.0,25631.0,36565.2,1352.0
95.0,122.0,9.0,25631.0,37205.2,1352.0
95.0,123.0,9.0,25631.0,37825.2,1352.0
96.0,123.0,9.0,25806.0,37825.2,1352.0
