n_type_0,n_type_1,n_type_2,n_type_3,n_type_4,n_type_5,n_type_6,n_type_7,n_type_8,n_type_9,n_type_10,n_type_11,n_type_12,n_type_13,n_type_14,mw_type_0,mw_type_1,mw_type_2,mw_type_3,mw_type_4,mw_type_5,mw_type_6,mw_type_7,mw_type_8,mw_type_9,mw_type_10,mw_type_11,mw_type_12,mw_type_13
0.0,38.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18369.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,39.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18818.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,40.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20089.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,41.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20919.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,42.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21391.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,43.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21416.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,44.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21596.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,45.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22346.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,46.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23096.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,47.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23354.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,48.0,1.0,2.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23414.0,315.0,50.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,48.0,1.0,3.0,4.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23414.0,315.0,95.0,48.0,10.0,-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
