n_renewable,n_non_renewable,n_storage,mw_renewable,mw_non_renewable,mw_storage
5.0,140.0,0.0,371.0,48834.200000000004,0.0
5.0,141.0,0.0,371.0,48836.700000000004,0.0
5.0,141.0,0.0,371.0,48531.700000000004,0.0
6.0,141.0,0.0,387.0,48531.700000000004,0.0
6.0,142.0,0.0,387.0,48538.700000000004,0.0
6.0,142.0,0.0,387.0,48438.700000000004,0.0
6.0,143.0,0.0,387.0,48447.100000000006,0.0
6.0,144.0,0.0,387.0,48464.100000000006,0.0
6.0,145.0,0.0,387.0,48626.100000000006,0.0
6.0,145.0,0.0,387.0,49217.100000000006,0.0
7.0,144.0,0.0,397.0,49203.100000000006,0.0
7.0,144.0,0.0,397.0,48911.100000000006,0.0
7.0,145.0,0.0,397.0,48928.100000000006,0.0
7.0,146.0,0.0,397.0,48998.100000000006,0.0
7.0,145.0,0.0,397.0,48289.100000000006,0.0
7.0,146.0,0.0,397.0,49884.100000000006,0.0
7.0,147.0,0.0,397.0,50524.100000000006,0.0
7.0,148.0,0.0,397.0,51144.100000000006,0.0
7.0,148.0,0.0,397.0,51472.90000000001,0.0
7.0,149.0,0.0,397.0,51747.90000000001,0.0
7.0,150.0,0.0,397.0,52474.90000000001,0.0
7.0,151.0,0.0,397.0,52481.40000000001,0.0
7.0,152.0,0.0,397.0,53441.40000000001,0.0
7.0,153.0,0.0,397.0,53791.40000000001,0.0
7.0,154.0,0.0,397.0,53851.40000000001,0.0
7.0,155.0,0.0,397.0,53901.40000000001,0.0
7.0,156.0,0.0,397.0,54001.40000000001,0.0
7.0,156.0,0.0,397.0,54464.40000000001,0.0
7.0,155.0,0.0,397.0,54064.40000000001,0.0
7.0,156.0,0.0,397.0,54094.40000000001,0.0
7.0,155.0,0.0,397.0,54091.90000000001,0.0
7.0,155.0,0.0,397.0,54091.90000000001,0.0
8.0,155.0,0.0,427.0,54091.90000000001,0.0
8.0,156.0,0.0,427.0,54737.90000000001,0.0
8.0,156.0,0.0,427.0,55900.90000000001,0.0
8.0,156.0,0.0,427.0,55900.90000000001,0.0
8.0,157.0,0.0,427.0,55909.90000000001,0.0
8.0,158.0,0.0,427.0,55915.90000000001,0.0
8.0,159.0,0.0,427.0,55922.40000000001,0.0
8.0,160.0,0.0,427.0,55938.40000000001,0.0
8.0,161.0,0.0,427.0,56606.40000000001,0.0
8.0,162.0,0.0,427.0,56870.40000000001,0.0
8.0,163.0,0.0,427.0,57104.40000000001,0.0
8.0,164.0,0.0,427.0,57554.40000000001,0.0
8.0,165.0,0.0,427.0,57559.40000000001,0.0
8.0,166.0,0.0,427.0,57573.40000000001,0.0
8.0,167.0,0.0,427.0,57587.40000000001,0.0
8.0,168.0,0.0,427.0,57617.40000000001,0.0
8.0,169.0,0.0,427.0,58117.40000000001,0.0
8.0,170.0,0.0,427.0,58617.40000000001,0.0
8.0,171.0,0.0,427.0,59117.40000000001,0.0
8.0,170.0,0.0,427.0,59211.30000000001,0.0
8.0,170.0,0.0,427.0,59211.30000000001,0.0
8.0,171.0,0.0,427.0,59218.30000000001,0.0
8.0,172.0,0.0,427.0,59765.30000000001,0.0
8.0,170.0,0.0,427.0,60285.30000000001,0.0
8.0,171.0,0.0,427.0,60335.30000000001,0.0
8.0,172.0,0.0,427.0,60651.30000000001,0.0
8.0,173.0,0.0,427.0,61251.30000000001,0.0
8.0,174.0,0.0,427.0,61861.30000000001,0.0
8.0,175.0,0.0,427.0,62161.30000000001,0.0
9.0,173.0,0.0,435.0,62123.30000000001,0.0
9.0,174.0,0.0,435.0,62135.30000000001,0.0
9.0,175.0,0.0,435.0,62141.30000000001,0.0
9.0,176.0,0.0,435.0,62153.30000000001,0.0
9.0,177.0,0.0,435.0,62169.30000000001,0.0
10.0,177.0,0.0,465.0,62169.30000000001,0.0
10.0,178.0,0.0,465.0,62207.30000000001,0.0
10.0,176.0,0.0,465.0,61431.10000000001,0.0
10.0,177.0,0.0,465.0,61433.000000000015,0.0
10.0,178.0,0.0,465.0,62183.000000000015,0.0
10.0,179.0,0.0,465.0,62533.000000000015,0.0
10.0,180.0,0.0,465.0,62923.000000000015,0.0
10.0,181.0,0.0,465.0,63673.000000000015,0.0
10.0,182.0,0.0,465.0,63683.000000000015,0.0
10.0,183.0,0.0,465.0,64283.000000000015,0.0
10.0,184.0,0.0,465.0,64387.000000000015,0.0
10.0,185.0,0.0,465.0,64441.000000000015,0.0
10.0,186.0,0.0,465.0,64941.000000000015,0.0
10.0,187.0,0.0,465.0,65551.00000000001,0.0
10.0,188.0,0.0,465.0,66226.00000000001,0.0
10.0,189.0,0.0,465.0,67426.00000000001,0.0
10.0,188.0,0.0,465.0,67416.00000000001,0.0
10.0,183.0,0.0,465.0,67339.00000000001,0.0
10.0,183.0,0.0,465.0,67339.00000000001,0.0
10.0,182.0,0.0,465.0,67169.10000000002,0.0
11.0,182.0,0.0,572.0,67169.10000000002,0.0
11.0,183.0,0.0,572.0,67640.10000000002,0.0
11.0,184.0,0.0,572.0,67644.30000000002,0.0
11.0,185.0,0.0,572.0,67664.30000000002,0.0
11.0,186.0,0.0,572.0,67750.30000000002,0.0
11.0,187.0,0.0,572.0,68010.30000000002,0.0
11.0,188.0,0.0,572.0,68760.30000000002,0.0
11.0,188.0,0.0,572.0,68760.30000000002,0.0
11.0,189.0,0.0,572.0,69360.30000000002,0.0
11.0,190.0,0.0,572.0,69370.30000000002,0.0
11.0,191.0,0.0,572.0,69970.30000000002,0.0
11.0,192.0,0.0,572.0,70545.30000000002,0.0
11.0,192.0,0.0,572.0,70545.30000000002,0.0
11.0,193.0,0.0,572.0,71185.30000000002,0.0
