q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
238,withdrawn,2007-12-07,,,worcester,Landfill,,,2.0,,
239,withdrawn,2007-12-12,2008-10-22,,fairfield,Oil,,,436.0,,
240,withdrawn,2007-12-18,2010-10-27,,new london,Oil,,,98.0,,
241,withdrawn,2007-12-31,,,new haven,Oil,,,557.0,,
242,withdrawn,2008-01-03,,,cheshire,Biomass,,,20.0,,
244,withdrawn,2008-01-03,,,somerset,Wind,,,117.0,,
243,operational,2008-01-04,,,bristol,Coal,,,669.0,,
245,operational,2008-01-11,,2010-03-12,washington,Wind,,,24.0,,
246,withdrawn,2008-01-29,2008-12-31,,worcester,Gas,,,87.0,,
247,withdrawn,2008-01-31,,,orleans,Hydro,,,4.1,,
249,operational,2008-02-04,,2010-03-12,washington,Wind,,,26.0,,
248,operational,2008-02-07,,2012-05-23,new haven,Oil,,,146.0,,
252,operational,2008-02-13,,2010-07-15,new london,Gas,,,18.0,,
250,operational,2008-02-13,,2011-10-01,hartford,Gas,,,6.1,,
251,operational,2008-02-15,,2014-06-17,coos,Biomass,,,59.0,,
254,withdrawn,2008-03-10,,,penobscot,Wind,,,20.0,,
253,withdrawn,2008-03-11,,,fairfield,Oil,,,310.0,,
254,withdrawn,2008-03-25,,,berkshire,Wind,,,13.0,,
255,withdrawn,2008-03-31,,,grafton,Wind,,,50.0,,
256,withdrawn,2008-04-04,,,merrimack,Biomass,,,20.0,,
257,withdrawn,2008-04-14,,,,Wind,,,250.0,,
258,operational,2008-04-15,,2008-05-26,merrimack,Coal,,,337.0,,
259,withdrawn,2008-05-07,,,providence,Gas,,,616.0,,
260,withdrawn,2008-05-08,,,,Wind,,,450.0,,
261,withdrawn,2008-05-19,,,,Gas,,,497.0,,
262,withdrawn,2008-05-23,,,providence,Landfill,,,50.0,,
263,withdrawn,2008-05-27,,,washington,Wind,,,385.0,,
264,withdrawn,2008-06-04,,,,Landfill,,,0.8,,
264,withdrawn,2008-06-11,,,grafton,Biomass,,,10.0,,
265,withdrawn,2008-06-16,,,suffolk,Oil,,,14.0,,
266,withdrawn,2008-06-19,,,orleans,Wind,,,34.0,,
267,withdrawn,2008-06-24,,,fairfield,Oil,,,222.0,,
268,withdrawn,2008-07-08,,,orleans,Wind,,,8.5,,
269,operational,2008-07-14,,2011-08-02,hampden,Hydro,,,1.3,,
270,withdrawn,2008-07-17,,,wiscasset,Hydro,,,1000.0,,
272,operational,2008-08-01,,2012-08-01,franklin,Wind,,,64.0,,
273,withdrawn,2008-08-03,2019-10-16,,hampden,Biomass,,,37.0,,
274,withdrawn,2008-08-07,2012-10-14,,chittenden,Oil,,,49.0,,
276,withdrawn,2008-09-02,,,bennington,Wind,,,30.0,,
277,withdrawn,2008-09-12,,,fairfield,Oil,,,695.0,,
277,withdrawn,2008-09-22,2014-12-18,,dutchess,Gas,,,1115.0,,
279,withdrawn,2008-09-30,,,windsor,Biomass,,,30.0,,
280,withdrawn,2008-10-02,,,coos,Wind,,,180.0,,
281,operational,2008-10-06,,2011-09-01,rutland,Wind,,,85.0,,
281,operational,2008-10-07,,2009-01-30,windham,Gas,,,0.0,,
282,withdrawn,2008-10-15,,,franklin,Biomass,,,52.0,,
284,operational,2008-10-22,,2012-04-05,rockingham,Nuclear,,,1257.0,,
285,withdrawn,2008-10-24,,,penobscot,Gas,,,35.0,,
286,withdrawn,2008-12-05,,,worcester,Gas,,,199.0,,
287,operational,2008-12-18,,2015-09-15,franklin,Wind,,,33.0,,
289,operational,2009-01-08,,2012-06-15,new haven,Gas,,,9.0,,
290,operational,2009-01-15,,,oxford,Wind,,,18.0,,
291,operational,2009-01-21,,2010-06-17,merrimack,Coal,,,354.0,,
292,withdrawn,2009-01-30,,,berkshire,Biomass,,,52.0,,
293,operational,2009-01-30,,2009-07-20,penobscot,Hydro,,,5.0,,
294,withdrawn,2009-02-05,,,washington,Wind,,,20.0,,
295,withdrawn,2009-02-09,,,plymouth,Gas,,,1012.0,,
296,operational,2009-02-20,,2011-05-01,windsor,Biomass,,,30.0,,
296,operational,2009-02-23,,,chittenden,Wind,,,12.0,,
296,operational,2009-03-20,,,essex,Coal,,,0.0,,
297,withdrawn,2009-03-25,,,aroostook,Wind,,,202.0,,
298,withdrawn,2009-04-15,,,oxford,Unknown,,,1.5,,
299,operational,2009-05-11,,2009-11-01,rockingham,Nuclear,,,0.0,,
300,operational,2009-05-14,,,oxford,Wind,,,19.0,,
301,operational,2009-05-28,,2011-07-26,penobscot,Wind,,,3.9,,
302,withdrawn,2009-06-16,,,aroostook,Wind,,,150.0,,
303,withdrawn,2009-06-23,,,cumberland,Biomass,,,7.6,,
303,withdrawn,2009-06-24,,,androscoggin,Unknown,,,9.5,,
304,withdrawn,2009-07-06,,,cumberland,Biomass,,,4.9,,
305,withdrawn,2009-07-10,2009-10-20,,dukes,Oil,,,16.0,,
306,withdrawn,2009-07-13,,,hampden,Hydro,,,3.3,,
307,withdrawn,2009-07-14,,,essex,Oil,,,9.1,,
308,withdrawn,2009-08-28,,,washington,Wind,,,29.0,,
309,withdrawn,2009-09-01,,,lewiston,Hydro,,,34.0,,
310,withdrawn,2009-09-10,2012-11-15,,franklin,Wind,,,33.0,,
311,operational,2009-09-15,,,orleans,Wind,,,62.0,,
312,withdrawn,2009-09-18,2011-10-18,,cheshire,Biomass,,,20.0,,
313,operational,2009-10-08,,2012-08-24,androscoggin,Hydro,,,34.0,,
314,withdrawn,2009-10-16,,,plymouth,Gas,,,455.0,,
315,operational,2009-10-20,,2012-06-08,hampden,Hydro,,,1.7,,
316,operational,2009-11-02,,2010-10-04,penobscot,Gas,,,27.0,,
317,operational,2009-11-04,,,hancock,Wind,,,34.0,,
318,operational,2009-11-24,,2010-04-14,hartford,Oil,,,48.0,,
319,withdrawn,2009-12-14,,,new london,Nuclear,,,1260.0,,
320,withdrawn,2009-12-15,2011-10-31,,fairfield,Oil,,,0.0,,
321,operational,2009-12-24,,2010-06-01,oxford,Hydro,,,44.0,,
323,operational,2010-01-21,,,oxford,Wind,,,20.0,,
325,withdrawn,2010-02-10,,,washington,Wind,,,536.0,,
326,withdrawn,2010-04-08,,,hampden,Solar,,,20.0,,
327,withdrawn,2010-05-04,,,penobscot,Wind,,,48.0,,
328,withdrawn,2010-05-06,,,worcester,Wind,,,28.0,,
329,operational,2010-05-07,,,chittenden,Wind,,,10.0,,
