q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
113,withdrawn,2006-06-30,2014-10-24,,solano,Wind,,,30.0,,
115,withdrawn,2006-07-12,2008-11-26,,san bernardino,Wind,,,150.0,,
114,withdrawn,2006-07-12,2008-11-26,,san bernardino,Wind,,,150.0,,
116,withdrawn,2006-07-12,2008-11-26,,san bernardino,Wind,,,50.0,,
117,withdrawn,2006-07-20,,,humboldt,Wind,,,70.0,,
118,withdrawn,2006-08-04,2007-11-28,,mohave,Gas,,,550.0,,
119,operational,2006-08-08,,2021-04-26,kern,Wind,,,500.0,,
120,withdrawn,2006-08-09,2008-11-26,,san bernardino,Solar,,,1200.0,,
122,withdrawn,2006-08-17,,,orange,Gas,,,99.0,,
123,withdrawn,2006-08-17,,,san diego,Gas,,,99.0,,
121,operational,2006-08-17,,2009-08-07,san diego,Gas,,,49.0,,
124,operational,2006-08-22,,2019-12-06,imperial,Solar,,,600.0,,
125,operational,2006-08-22,,2014-12-04,san bernardino,Steam Turbine,,,250.0,,
126,withdrawn,2006-08-31,,,clark,Wind,,,1500.0,,
128,withdrawn,2006-09-01,,,fresno,Gas,,,600.0,,
127,withdrawn,2006-09-01,,,contra costa,Steam Turbine,,,27.0,,
129,withdrawn,2006-09-13,2006-10-24,,san bernardino,Wind,,,400.0,,
130,withdrawn,2006-09-13,,,san bernardino,Steam Turbine,,,565.0,,
131,operational,2006-09-25,,,san bernardino,Steam Turbine,,,132.0,,
132,operational,2006-09-27,,2012-12-07,kern,Wind,,,162.0,,
133,withdrawn,2006-10-03,2006-12-21,,san bernardino,Wind,,,140.0,,
134,withdrawn,2006-10-09,,,kern,Gas,,,200.0,,
135,withdrawn,2006-10-10,,,san bernardino,Wind,,,60.0,,
136,withdrawn,2006-10-16,,,san bernardino,Gas,,,300.0,,
137,operational,2006-10-17,,,san diego,Gas,,,211.0,,
138,active,2006-10-23,,,riverside,Wind,Battery,,60.0,90.0,
139,withdrawn,2006-10-24,,,san bernardino,Gas,,,698.0,,
140,withdrawn,2006-10-31,,,inyo,Steam Turbine,,,75.0,,
141,withdrawn,2006-11-03,2007-12-11,,san bernardino,Gas,,,504.0,,
142,withdrawn,2006-11-06,,,san bernardino,Steam Turbine,,,80.0,,
143,withdrawn,2006-11-06,2008-11-26,,san bernardino,Steam Turbine,,,80.0,,
144,withdrawn,2006-11-06,,,san bernardino,Steam Turbine,,,320.0,,
145,withdrawn,2006-11-08,2008-10-23,,clark,Gas,,,591.0,,
146,active,2006-11-16,,,riverside,Solar,Battery,,250.0,230.0,
148,withdrawn,2006-11-16,,,church,Steam Turbine,,,90.0,,
149,withdrawn,2006-11-16,2008-10-20,,kern,Wind,,,362.0,,
150,withdrawn,2006-11-16,,,san diego,Gas,,,47.0,,
147,active,2006-11-16,,,riverside,Solar,Battery,,300.0,230.0,
151,withdrawn,2006-11-17,2006-12-11,,san bernardino,Gas,,,510.0,,
153,withdrawn,2006-11-22,,,kern,Wind,,,100.0,,
152,withdrawn,2006-11-22,2008-10-29,,santa barbara,Wind,,,105.0,,
154,withdrawn,2006-11-30,,,kern,Solar,,,250.0,,
155,withdrawn,2006-12-01,,,alameda,Gas,,,300.0,,
156,withdrawn,2006-12-05,,,san bernardino,Wind,,,201.0,,
158,withdrawn,2006-12-15,2008-11-26,,kern,Wind,,,100.0,,
159,withdrawn,2006-12-15,2009-12-15,,kern,Wind,,,100.0,,
157,withdrawn,2006-12-15,2008-11-26,,kern,Wind,,,100.0,,
159A,operational,2006-12-22,,2022-01-13,baja california,Wind,,,256.0,,
160,withdrawn,2006-12-29,,,san bernardino,Steam Turbine,,,220.0,,
161,withdrawn,2007-01-04,,,los angeles,Gas,,,220.0,,
162,operational,2007-01-05,,,san bernardino,Steam Turbine,,,126.0,,
163,operational,2007-01-09,,2016-08-30,san bernardino,Solar,,,300.0,,
164,withdrawn,2007-01-12,2008-11-19,,baja california,Wind,,,1000.0,,
165,withdrawn,2007-01-16,,,san bernardino,Steam Turbine,,,400.0,,
166,operational,2007-01-23,,,san luis obispo,Solar,,,210.0,,
167,withdrawn,2007-01-25,,,riverside,Gas,,,700.0,,
170,withdrawn,2007-02-02,,,kern,Solar,,,150.0,,
169,withdrawn,2007-02-02,2008-11-26,,imperial,Steam Turbine,,,212.0,,
168,withdrawn,2007-02-02,,,baja california,Wind,,,1000.0,,
171,withdrawn,2007-02-09,,,solano,Wind,,,500.0,,
172,withdrawn,2007-02-15,,,san joaquin,Gas,,,508.0,,
173,withdrawn,2007-02-16,,,san diego,Gas,,,50.0,,
174,withdrawn,2007-02-16,,,riverside,Wind,,,30.0,,
175,withdrawn,2007-02-21,,,kern,Wind,,,650.0,,
176,withdrawn,2007-02-23,,,orange,Gas,,,50.0,,
177,withdrawn,2007-02-28,,,contra costa,Wind,,,100.0,,
178,withdrawn,2007-02-28,2007-11-19,,merced,Wind,,,100.0,,
178B,withdrawn,2007-02-28,,,mexicali,Wind,,,500.0,,
178A,withdrawn,2007-02-28,2008-11-24,,mexicali,Wind,,,500.0,,
179,withdrawn,2007-03-01,2008-11-26,,riverside,Steam Turbine,,,300.0,,
181,withdrawn,2007-03-02,,,san bernardino,Gas,,,400.0,,
180,withdrawn,2007-03-02,,,san bernardino,Gas,,,564.0,,
183,withdrawn,2007-03-05,2017-10-10,,baja california,Wind,,,300.0,,
184,withdrawn,2007-03-05,,,sonoma,Steam Turbine,,,32.0,,
182,withdrawn,2007-03-05,,,kern,Solar,,,500.0,,
185,withdrawn,2007-03-06,,,mineral,Steam Turbine,,,150.0,,
186,withdrawn,2007-03-07,2007-11-28,,san joaquin,Gas,,,211.0,,
187,withdrawn,2007-03-14,,,sonoma,Steam Turbine,,,50.0,,
188,operational,2007-03-23,,2015-06-25,kern,Wind,,,198.0,,
189,operational,2007-03-30,,2019-06-10,san diego,Gas,,,106.0,,
190,withdrawn,2007-03-30,,,san diego,Gas,,,330.0,,
192,withdrawn,2007-04-02,,,san diego,Gas,,,315.0,,
191,withdrawn,2007-04-02,,,san diego,Gas,,,315.0,,
193,operational,2007-04-04,,2021-06-30,riverside,Other,,,500.0,230.0,
194,operational,2007-04-05,,,san luis obispo,Solar,,,190.0,,
195,withdrawn,2007-04-06,,,kern,Gas,,,725.0,,
196,withdrawn,2007-04-13,,,madera,Gas,,,210.0,,
197,withdrawn,2007-04-16,,,san diego,Gas,,,315.0,,
198,withdrawn,2007-04-18,,,san diego,Gas,,,400.0,,
203,withdrawn,2007-04-19,,,san bernardino,Wind,,,199.0,,
201,operational,2007-04-19,,2010-06-16,san diego,Gas,,,99.0,,
200,withdrawn,2007-04-19,,,riverside,Gas,,,200.0,,
202,withdrawn,2007-04-19,2008-11-12,,san bernardino,Wind,,,199.0,,
199,withdrawn,2007-04-19,,,san joaquin,Gas,,,50.0,,
204,withdrawn,2007-04-19,2008-12-19,,san bernardino,Wind,,,149.0,,
205,withdrawn,2007-04-20,,,clark,Steam Turbine,,,5.0,,
206,withdrawn,2007-04-23,,,los angeles,Gas,,,200.0,,
207,withdrawn,2007-04-26,,,los angeles,Gas,,,557.0,,
209,withdrawn,2007-05-03,2009-12-17,,baja california,Wind,,,400.0,,
210,withdrawn,2007-05-03,,,riverside,Solar,,,500.0,,
208,withdrawn,2007-05-03,,,alameda,Solar,,,2.0,,
211,withdrawn,2007-05-04,2008-12-11,,lassen,Wind,,,201.0,,
212,withdrawn,2007-05-09,,,humboldt,Wind,,,50.0,,
213,withdrawn,2007-05-09,2008-11-26,,san bernardino,Wind,,,180.0,,
214,withdrawn,2007-05-10,2008-11-12,,san bernardino,Wind,,,49.0,,
215,withdrawn,2007-05-21,2017-10-10,,baja california,Wind,,,420.0,,
218,withdrawn,2007-05-22,,,san diego,Gas,,,99.0,,
217,withdrawn,2007-05-22,,,san diego,Gas,,,99.0,,
216,withdrawn,2007-05-22,,,san diego,Gas,,,99.0,,
222,active,2007-05-23,,,solano,Wind,Battery,,78.0,54.0,
221,withdrawn,2007-05-23,,,san bernardino,Solar,,,450.0,,
220,withdrawn,2007-05-23,,,san bernardino,Solar,,,450.0,,
219,withdrawn,2007-05-23,,,riverside,Solar,,,50.0,,
