q_id,q_status,q_date,wd_date,on_date,county_1,type1,type2,type3,mw1,mw2,mw3
26INR0049,active,2023-04-19,,,freestone,Gas,,,228.0,,
25INR0405,active,2023-05-03,,,matagorda,Battery,,,100.0,,
25INR0376,active,2023-05-03,,,hidalgo,Battery,,,150.0,,
24INR0507,active,2023-05-03,,,young,Wind,,,152.0,,
27INR0035,withdrawn,2023-05-03,,,hidalgo,Solar,,,187.0,,
27INR0036,withdrawn,2023-05-03,,,cameron,Solar,,,54.0,,
25INR0421,active,2023-05-15,,,brazoria,Battery,,,207.0,,
23INR0411,active,2023-05-15,,,austin,Gas,,,150.0,,
25INR0425,active,2023-05-15,,,brazoria,Battery,,,362.0,,
25INR0441,active,2023-05-15,,,jackson,Battery,,,201.0,,
25INR0423,active,2023-05-15,,,freestone,Solar,Battery,,180.0,104.0,
25INR0380,active,2023-05-15,,,hidalgo,Battery,,,201.0,,
26INR0082,active,2023-05-15,,,freestone,Solar,Battery,,302.0,151.0,
25INR0418,active,2023-05-15,,,cameron,Battery,,,126.0,,
26INR0116,active,2023-05-15,,,zapata,Battery,,,201.0,,
25INR0414,active,2023-05-15,,,cherokee,Battery,,,100.0,,
27INR0037,withdrawn,2023-05-15,,,cameron,Solar,,,54.0,,
24INR0550,active,2023-05-15,,,hidalgo,Battery,,,228.0,,
25INR0419,active,2023-05-15,,,cameron,Battery,,,121.0,,
26INR0098,active,2023-05-15,,,leon,Solar,,,221.0,,
25INR0242,active,2023-05-15,,,fort bend,Battery,,,72.0,,
27INR0021,active,2023-05-15,,,matagorda,Solar,Battery,,156.0,,
25INR0238,active,2023-05-15,,,collin,Battery,,,250.0,,
28INR0008,active,2023-05-15,,,knox,Solar,Battery,,504.0,150.0,
23INR0603,active,2023-05-17,,,brazoria,Battery,,,10.0,,
25INR0347,active,2023-05-22,,,brazos,Battery,,,104.0,,
25INR0386,active,2023-05-22,,,cameron,Battery,,,244.0,,
25INR0241,active,2023-05-22,,,starr,Battery,,,133.0,,
24INR0532,active,2023-05-22,,,freestone,Solar,,,101.0,,
23INR0688,active,2023-05-23,,,ector,Battery,,,9.9,,
23INR0543,active,2023-05-24,,,starr,Battery,,,9.8,,
25INR0239,active,2023-05-26,,,hidalgo,Battery,,,102.0,,
25INR0444,active,2023-05-26,,,zavala,Battery,,,50.0,,
25INR0399,active,2023-05-26,,,ellis,Battery,,,301.0,,
25INR0396,active,2023-05-26,,,martin,Battery,,,151.0,,
24INR0580,active,2023-05-26,,,mclennan,Solar,,,9.8,,
25INR0460,active,2023-06-07,,,castro,Battery,,,301.0,,
25INR0402,active,2023-06-07,,,colorado,Battery,,,151.0,,
25INR0467,active,2023-06-07,,,brazoria,Battery,,,301.0,,
24INR0543,active,2023-06-07,,,lampasas,Battery,,,201.0,,
25INR0382,active,2023-06-07,,,milam,Solar,Battery,,86.0,60.0,
25INR0147,active,2023-06-07,,,robertson,Solar,Battery,,231.0,115.0,
25INR0301,active,2023-06-07,,,ector,Battery,,,257.0,,
24INR0567,active,2023-06-07,,,hood,Gas,,,306.0,,
25INR0394,active,2023-06-07,,,bee,Battery,,,52.0,,
24INR0533,active,2023-06-07,,,bexar,Battery,,,155.0,,
24INR0587,active,2023-06-12,,,angelina,Battery,,,9.9,,
24INR0588,active,2023-06-12,,,eastland,Battery,,,9.9,,
24INR0586,active,2023-06-12,,,ector,Battery,,,9.9,,
24INR0585,active,2023-06-12,,,henderson,Battery,,,9.9,,
24INR0581,active,2023-06-14,,,maverick,Battery,,,9.9,,
26INR0143,active,2023-06-28,,,kleberg,Solar,,,265.0,,
26INR0134,active,2023-06-28,,,bee,Solar,Battery,,101.0,76.0,
25INR0390,active,2023-06-28,,,starr,Battery,,,151.0,,
25INR0482,active,2023-06-28,,,palo pinto,Solar,,,109.0,,
24INR0595,active,2023-06-28,,,harris,Battery,,,9.9,,
26INR0107,active,2023-06-28,,,zapata,Battery,,,502.0,,
26INR0176,active,2023-06-28,,,houston,Solar,Battery,,153.0,77.0,
27INR0049,active,2023-06-28,,,comanche,Solar,,,150.0,,
27INR0047,active,2023-06-28,,,nueces,Solar,Battery,,523.0,,
25INR0434,active,2023-06-28,,,harris,Battery,,,502.0,,
24INR0572,active,2023-06-28,,,cameron,Battery,,,110.0,,
25INR0466,active,2023-06-28,,,wise,Battery,,,176.0,,
27INR0056,active,2023-06-28,,,pecos,Wind,Battery,,502.0,201.0,
